Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols,Non-adaptive rounds,Non-adaptive MQ resets,Non-adaptive MQ input symbols,Non-adaptive EQ resets,Non-adaptive EQ input symbols,Non-adaptive total resets,Non-adaptive total input symbols
[5; 1; 14; 6; 9; 11; 2; 15; 8; 16; 10; 3; 13; 4; 12; 7],16,704450,5295628,76108227,728029861,76812677,733325489,22,642412,4804082,82690520,786870011,83332932,791674093
[16; 14; 11; 15; 2; 13; 4; 10; 6; 3; 9; 1; 5; 12; 8; 7],16,756618,5683208,76533349,733474805,77289967,739158013,22,642412,4804082,82690520,786870011,83332932,791674093
[6; 5; 9; 1; 7; 3; 2; 15; 14; 8; 12; 16; 13; 11; 10; 4],18,681222,5098440,77124617,737866502,77805839,742964942,22,642412,4804082,82690520,786870011,83332932,791674093
[8; 2; 12; 3; 1; 11; 15; 9; 10; 4; 16; 14; 5; 6; 13; 7],16,759776,5788212,77529213,744642934,78288989,750431146,22,642412,4804082,82690520,786870011,83332932,791674093
[10; 13; 15; 5; 16; 6; 2; 14; 11; 12; 4; 7; 1; 3; 9; 8],18,818402,6104016,80839274,771178686,81657676,777282702,22,642412,4804082,82690520,786870011,83332932,791674093
[2; 11; 3; 16; 6; 9; 7; 1; 5; 13; 8; 12; 10; 4; 15; 14],16,674716,5041408,76610121,733965518,77284837,739006926,22,642412,4804082,82690520,786870011,83332932,791674093
[11; 3; 8; 15; 10; 2; 6; 9; 7; 12; 4; 1; 14; 5; 16; 13],16,780728,5918710,76354432,730853816,77135160,736772526,22,642412,4804082,82690520,786870011,83332932,791674093
[6; 1; 8; 16; 4; 13; 3; 7; 10; 5; 14; 2; 9; 12; 15; 11],18,725514,5420506,76226337,730367102,76951851,735787608,22,642412,4804082,82690520,786870011,83332932,791674093
[15; 8; 9; 3; 11; 14; 13; 4; 10; 7; 6; 5; 2; 1; 16; 12],16,768356,5751478,76327298,732225901,77095654,737977379,22,642412,4804082,82690520,786870011,83332932,791674093
[3; 8; 11; 14; 5; 15; 13; 6; 16; 12; 2; 4; 7; 10; 9; 1],16,700364,5520948,75103607,718940750,75803971,724461698,22,642412,4804082,82690520,786870011,83332932,791674093
[8; 5; 15; 14; 4; 12; 9; 11; 13; 6; 10; 7; 1; 3; 16; 2],16,736930,5541680,75670208,723817836,76407138,729359516,22,642412,4804082,82690520,786870011,83332932,791674093
[5; 16; 2; 7; 14; 6; 8; 12; 13; 9; 10; 3; 4; 1; 15; 11],16,709746,5328992,77052587,737719047,77762333,743048039,22,642412,4804082,82690520,786870011,83332932,791674093
[4; 12; 6; 14; 13; 16; 15; 8; 7; 1; 5; 10; 3; 11; 2; 9],18,753434,5839819,75571113,723188682,76324547,729028501,22,642412,4804082,82690520,786870011,83332932,791674093
[12; 13; 16; 3; 7; 15; 6; 1; 10; 9; 4; 5; 8; 11; 14; 2],16,737668,5753663,75850863,725213665,76588531,730967328,22,642412,4804082,82690520,786870011,83332932,791674093
[2; 11; 4; 3; 5; 7; 15; 13; 9; 1; 10; 8; 12; 6; 16; 14],16,760546,5793102,74816746,717147135,75577292,722940237,22,642412,4804082,82690520,786870011,83332932,791674093
[5; 6; 7; 2; 8; 11; 16; 12; 4; 1; 9; 14; 10; 15; 13; 3],18,668710,4999081,74997386,717376761,75666096,722375842,22,642412,4804082,82690520,786870011,83332932,791674093
[13; 2; 9; 7; 5; 11; 1; 3; 12; 14; 8; 6; 16; 15; 4; 10],18,726562,6057900,75894350,727124395,76620912,733182295,22,642412,4804082,82690520,786870011,83332932,791674093
[1; 4; 16; 6; 11; 12; 9; 8; 2; 15; 10; 7; 5; 14; 3; 13],18,724158,5831341,77568261,743905754,78292419,749737095,22,642412,4804082,82690520,786870011,83332932,791674093
