Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols,Non-adaptive rounds,Non-adaptive MQ resets,Non-adaptive MQ input symbols,Non-adaptive EQ resets,Non-adaptive EQ input symbols,Non-adaptive total resets,Non-adaptive total input symbols
[5; 12; 1; 15; 3; 2; 9; 8; 13; 14; 4; 10; 7; 11; 6],17,80100,442791,3868775,25209563,3948875,25652354,30,73937,401613,4355463,28235499,4429400,28637112
[4; 10; 15; 8; 1; 9; 12; 5; 2; 3; 6; 13; 7; 14; 11],18,77449,423977,3762778,24528338,3840227,24952315,30,73937,401613,4355463,28235499,4429400,28637112
[8; 4; 1; 13; 5; 14; 15; 11; 6; 7; 3; 9; 2; 10; 12],17,77420,423941,3752925,24443818,3830345,24867759,30,73937,401613,4355463,28235499,4429400,28637112
[1; 6; 15; 5; 7; 10; 14; 13; 2; 11; 12; 9; 4; 3; 8],17,78786,433826,3815500,24958031,3894286,25391857,30,73937,401613,4355463,28235499,4429400,28637112
[13; 9; 14; 2; 11; 5; 15; 12; 8; 3; 6; 4; 1; 7; 10],16,78116,430159,3672154,23965129,3750270,24395288,30,73937,401613,4355463,28235499,4429400,28637112
[3; 4; 15; 7; 8; 1; 13; 6; 2; 11; 10; 14; 9; 5; 12],19,80584,444100,3837001,24944545,3917585,25388645,30,73937,401613,4355463,28235499,4429400,28637112
[11; 1; 8; 7; 3; 15; 9; 5; 2; 6; 12; 10; 4; 13; 14],18,78379,431309,3813991,24873080,3892370,25304389,30,73937,401613,4355463,28235499,4429400,28637112
[11; 2; 7; 1; 15; 4; 6; 8; 9; 12; 14; 5; 3; 10; 13],18,78240,430178,3794824,24738006,3873064,25168184,30,73937,401613,4355463,28235499,4429400,28637112
[2; 3; 1; 12; 7; 15; 13; 8; 9; 5; 6; 11; 10; 14; 4],20,80950,446428,3937484,25685638,4018434,26132066,30,73937,401613,4355463,28235499,4429400,28637112
[13; 9; 3; 11; 1; 14; 12; 6; 8; 15; 10; 4; 5; 7; 2],17,79217,435321,3794165,24758883,3873382,25194204,30,73937,401613,4355463,28235499,4429400,28637112
[12; 6; 7; 8; 15; 11; 9; 3; 4; 2; 10; 13; 14; 5; 1],20,80441,443379,3788122,24706912,3868563,25150291,30,73937,401613,4355463,28235499,4429400,28637112
[3; 12; 5; 7; 11; 8; 13; 4; 10; 15; 2; 14; 1; 6; 9],19,80879,448945,3860310,25112136,3941189,25561081,30,73937,401613,4355463,28235499,4429400,28637112
