Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80733183,770815085,81551585,776919101
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80726237,770162863,81544639,776266879
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80700024,770517155,81518426,776621171
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80587877,768994729,81406279,775098745
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80577570,769296244,81395972,775400260
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80922280,772397424,81740682,778501440
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,81052846,773170937,81871248,779274953
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80997699,772980017,81816101,779084033
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,81274369,775339460,82092771,781443476
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80446082,767946536,81264484,774050552
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,81351036,776067018,82169438,782171034
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,81431617,776996362,82250019,783100378
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80721289,770681203,81539691,776785219
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,80780308,771060538,81598710,777164554
[10; 12; 11; 8; 6; 15; 16; 13; 4; 3; 14; 5; 9; 7; 2; 1],18,818402,6104016,81012961,772993857,81831363,779097873
