Learning order,PL* rounds,PL* MQ resets,PL* MQ input symbols,PL* EQ resets,PL* EQ input symbols,PL* total resets,PL* total input symbols
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,420352,3674910,23976643,3751385,24396995
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77534,425988,3649606,23824720,3727140,24250708
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77003,422335,3606281,23529833,3683284,23952168
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76921,421826,3647521,23776563,3724442,24198389
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77085,424499,3641756,23789941,3718841,24214440
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77980,427462,3616545,23581251,3694525,24008713
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,418697,3635724,23725792,3712199,24144489
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77085,423424,3653414,23821857,3730499,24245281
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,420352,3667511,23916995,3743986,24337347
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77036,423154,3600411,23529663,3677447,23952817
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77980,429035,3637558,23750982,3715538,24180017
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76921,423399,3627297,23687396,3704218,24110795
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,420352,3584850,23450003,3661325,23870355
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77839,430043,3617046,23607265,3694885,24037308
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,418697,3638310,23777533,3714785,24196230
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77036,423154,3605523,23515449,3682559,23938603
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77085,421769,3638431,23761274,3715516,24183043
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,420352,3665880,23947409,3742355,24367761
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,420047,3621597,23669205,3698072,24089252
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76921,423399,3638912,23770957,3715833,24194356
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77839,427909,3606549,23588787,3684388,24016696
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77036,421499,3668224,23947292,3745260,24368791
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77534,424638,3612317,23592445,3689851,24017083
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77534,424638,3688845,24055896,3766379,24480534
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,419002,3650011,23802517,3726486,24221519
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77839,427909,3640092,23730572,3717931,24158481
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76698,420109,3654799,23887736,3731497,24307845
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77839,427909,3597752,23478759,3675591,23906668
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77534,424638,3654505,23883950,3732039,24308588
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,419002,3654980,23875789,3731455,24294791
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77534,425988,3669768,23959910,3747302,24385898
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77085,422844,3603436,23534677,3680521,23957521
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77341,425075,3640454,23740443,3717795,24165518
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,420352,3678750,24040423,3755225,24460775
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,420352,3664087,23946825,3740562,24367177
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77980,429035,3596830,23526344,3674810,23955379
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76698,420109,3637302,23742965,3714000,24163074
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,419002,3607575,23556522,3684050,23975524
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77036,423154,3641461,23729157,3718497,24152311
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77085,424499,3640878,23757948,3717963,24182447
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77085,424499,3643331,23765297,3720416,24189796
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77534,425988,3648456,23830051,3725990,24256039
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,419002,3587980,23416053,3664455,23835055
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77534,425988,3638614,23693951,3716148,24119939
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,419002,3645041,23766272,3721516,24185274
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77980,429035,3668913,23922839,3746893,24351874
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77085,423424,3601969,23519161,3679054,23942585
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,77980,427462,3652510,23851785,3730490,24279247
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76475,419002,3666923,23838206,3743398,24257208
[1; 15; 14; 5; 9; 7; 12; 10; 6; 11; 13; 3; 2; 8; 4],15,76921,421826,3642095,23774955,3719016,24196781
